IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8492||ROQUETAS DE MAR - FARO|SPAIN|36-41-12N|002-42-06W|3|
8449|LERT|ROTA|SPAIN|36-39N|006-21W|26|
8312||SA POBLA - SA CANOVA|SPAIN|39-44-57N|003-01-00E|40|
|LELL|SABADELL|SPAIN|41-31N|002-06E|250|
8192||SABADELL/AERODROMO|SPAIN|41-31-23N|002-06-10E|146|
8195||SAELICES EL CHICO|SPAIN|40-38-04N|006-35-57W|680|
8202|LESA|SALAMANCA / MATACAN|SPAIN|40-57N|005-30W|793|
8201||SALAMANCA-OBS.|SPAIN|40-57-27N|005-39-42W|775|
8918||SALLENT DE GALLEGO,'FORMIGAL|SPAIN|42-47N|000-22W|1560|
8917||SALLENT DE GALLEGO,'FURCO|SPAIN|42-46N|000-23W|1780|
8920||SALLENT DE GALLEGO,'RESPOMUSO|SPAIN|42-49N|000-17W|2180|
8256||SAN CLEMENTE|SPAIN|39-25-00N|002-25-14W|728|
8453||SAN FERNANDO|SPAIN|36-27-56N|006-12-20W|30|
60027||SAN NICOLAS TOLENTINO|SPAIN|28-00-02N|015-48-50W|10|
8270||SAN PABLO DE LOS MON|SPAIN|39-32-48N|004-21-02W|917|
8029|LESO|SAN SEBASTIAN / FUENTERRABIA|SPAIN|43-21N|001-48W|5|
8027||SAN SEBASTIAN / IGUELDO|SPAIN|43-18N|002-03W|258|
60008||SAN SEBASTIAN DE LA GOMERA|SPAIN|28-05-22N|017-06-41W|15|
8017||SAN VICENTE - FARO|SPAIN|43-23-35N|004-23-30W|39|
8240||SANT JAUME|SPAIN|40-41-57N|000-48-33E|1|
60020||SANTA CRUZ DE TENERIFE, CMZ|SPAIN|28-27N|016-15W|35|
8350||SANTA ELENA|SPAIN|38-20-39N|003-32-07W|770|
8188||SANTA SUSANA|SPAIN|41-39-01N|002-41-48E|40|
8023||SANTANDER|SPAIN|43-28N|003-49W|64|
8021|LEXJ|SANTANDER / PARAYAS|SPAIN|43-26N|003-49W|6|
8042|LEST|SANTIAGO / LABACOLLA|SPAIN|42-54N|008-26W|370|
8041||SANTIAGO DE COMPOSTE|SPAIN|42-52-32N|008-33-20W|240|
8213||SEGOVIA|SPAIN|40-57N|004-07W|1005|
|LESU|SEU D'URGELL / AEROPUERTO|SPAIN|42-20-29N|001-24-17E|800|
8391|LEZL|SEVILLA / SAN PABLO|SPAIN|37-25N|005-54W|34|
8303||SIERRA DE ALFABIA|SPAIN|39-44-04N|002-42-47E|1030|
8262||SIERRA DE FUENTES|SPAIN|39-26N|006-17W|667|
8150||SIGÜENZA|SPAIN|41-05-11N|002-37-05W|1005|
8145||SOMOSIERRA|SPAIN|41-08-08N|003-34-49W|1450|
|LESB|SON BONET AERODROME|SPAIN|39-35-56N|002-42-10E|41|
8148||SORIA|SPAIN|41-46N|002-28W|1082|
8936||SORT|SPAIN|42-25N|001-08E|680|Hasta 20141101
8090||SOS DEL REY CATOLICO|SPAIN|42-29-25N|001-12-47W|626|
8208||SOTILLO DE LA ADRADA|SPAIN|40-17-17N|004-35-26W|630|
8112||TALAR|SPAIN|42-12N|000-52E|800|
8274||TALAVERA DE LA REINA|SPAIN|39-57-29N|004-51-47W|372|
8277||TARANCON|SPAIN|40-00-41N|003-01-17W|808|
8458||TARIFA|SPAIN|36-00N|005-36W|10|
8173||TARREGA|SPAIN|41-39-01N|001-08-57E|363|
8940||TAVESCAN|SPAIN|42-38N|001-15E|1100|Hasta 20141101
60004||TAZACORTE|SPAIN|28-35-44N|017-54-55W|62|
60045||TEGUISE LA GRACIOSA|SPAIN|29-13-54N|013-30-06W|10|
60015|GCXO|TENERIFE / LOS RODEOS|SPAIN|28-28N|016-19W|632|
60025|GCTS|TENERIFE SUR|SPAIN|28-03N|016-34W|64|
60018||TENERIFE-GUIMAR|SPAIN|28-19N|016-23W|105|
8235||TERUEL|SPAIN|40-21N|001-07W|900|
|LETL|TERUEL|SPAIN|40-24-43N|001-13-03W|1026|Desde 20131219
8272||TOLEDO|SPAIN|39-53N|004-03W|515|
8276||TOMELLOSO|SPAIN|39-10-09N|003-00-24W|662|
8228||TORREJON DE VELASCO|SPAIN|40-11N|003-43W|707|
