ID|ESTACION|IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8015|OVIEDO|8015.0||OVIEDO|SPAIN|43-21N|005-52W|335|
8039|PADRON|8039.0||PADRON|SPAIN|42-44-17N|008-37-36W|120|
8031|PAJARES - VALGRANDE|8031.0||PAJARES - VALGRANDE|SPAIN|42-58-41N|005-46-35W|1480|
8149|PALACIOS DE LA SIERR|8149.0||PALACIOS DE LA SIERR|SPAIN|41-57-33N|003-07-54W|1080|
8072|PALENCIA-AUTILLA PINO|8072.0||PALENCIA-AUTILLA PINO|SPAIN|42-00N|004-36W|860|
8301|PALMA DE MALLORCA, CMT|8301.0||PALMA DE MALLORCA|SPAIN|39-33N|002-37E|3|
8306|PALMA DE MALLORCA/SON SAN JUAN|8306.0|LEPA|PALMA DE MALLORCA / SON SAN JUAN|SPAIN|39-33N|002-44E|4|
8085|PAMPLONA/NOAIN|8085.0|LEPP|PAMPLONA / NOAIN|SPAIN|42-46N|001-38W|459|
8924|PANTICOSA, ESQUI|8924.0||PANTICOSA, ESQUI|SPAIN|42-42N|000-16W|1830|
8922|PANTICOSA, REFUGIO CASA PIEDRA|8922.0||PANTICOSA,' REFUGIO CASA PIEDRA|SPAIN|42-46N|000-14W|1660|Hasta 20151201
8162|PERDIGUERA|8162.0||PERDIGUERA|SPAIN|41-44N|000-32W|819|
8357|PINOSO|8357.0||PINOSO|SPAIN|38-23-57N|001-02-17W|590|
8252|PLASENCIA|8252.0||PLASENCIA|SPAIN|40-02-35N|006-05-08W|415|
8051|POBRA DE TRIVES,SAN|8051.0||POBRA DE TRIVES-SAN|SPAIN|42-20-21N|007-16-54W|840|
8033|POLIENTES-CASYC|8033.0||POLIENTES-CASYC|SPAIN|42-48-21N|003-56-02W|720|
8287|POLINYA|8287.0||POLINYA|SPAIN|39-11-03N|000-22-18W|12|
8053|PONFERRADA|8053.0||PONFERRADA|SPAIN|42-32N|006-35W|550|
8044|PONTEVEDRA|8044.0||PONTEVEDRA|SPAIN|42-26N|008-37W|108|
8120|PORQUERES|8120.0||PORQUERES|SPAIN|42-06-15N|002-45-47E|157|
8310|PORRERES|8310.0||PORRERES|SPAIN|39-31-18N|003-01-09E|120|
8938|PORT AINE, L'ORRI|8938.0||PORT AINE|SPAIN|42-25N|001-13E|2080|
8942|PORT DEL COMTE|8942.0||PORT DEL COMTE|SPAIN|42-10N|001-34E|1800|
8309|PORTO COLOM|8309.0||PORTO COLOM|SPAIN|39-24-51N|003-16-18E|17|
8271|PUEBLA DE DON RODRIG|8271.0||PUEBLA DE DON RODRIG|SPAIN|39-05-18N|004-36-59W|485|
8052|PUERTO DE LEITARIEGO|8052.0||PUERTO DE LEITARIEGO|SPAIN|42-59-39N|006-24-51W|1530|
8057|PUERTO DE SAN ISIDRO|8057.0||PUERTO DE SAN ISIDRO|SPAIN|43-03-42N|005-22-36W|1510|
8059|PUNTA GALEA|8059.0||PUNTA GALEA|SPAIN|43-22-32N|003-01-09W|90|
8275|QUINTANAR DE LA ORDE|8275.0||QUINTANAR DE LA ORDE|SPAIN|39-35-49N|003-02-48W|691|
8175|REUS/AEROPUERTO|8175.0|LERS|REUS / AEROPUERTO|SPAIN|41-09N|001-10E|71|
8118|RIPOLL|8118.0||RIPOLL|SPAIN|42-11-29N|002-11-44E|671|
8212|ROBLEDO DE CHAVELA|8212.0||ROBLEDO DE CHAVELA|SPAIN|40-25-40N|004-15-00W|790|
8399|RODA DE ANDALUCIA|8399.0||RODA DE ANDALUCIA|SPAIN|37-11-39N|004-46-09W|410|
8492|ROQUETAS DE MAR-FARO|8492.0||ROQUETAS DE MAR - FARO|SPAIN|36-41-12N|002-42-06W|3|
8449|ROTA B.N. OBSERVATORIO|8449.0|LERT|ROTA|SPAIN|36-39N|006-21W|26|
8312|SA POBLA-SA CANOVA|8312.0||SA POBLA - SA CANOVA|SPAIN|39-44-57N|003-01-00E|40|
8195|SAELICES EL CHICO|8195.0||SAELICES EL CHICO|SPAIN|40-38-04N|006-35-57W|680|
8201|SALAMANCA,OBS.|8201.0||SALAMANCA-OBS.|SPAIN|40-57-27N|005-39-42W|775|
8202|SALAMANCA/MATACAN|8202.0|LESA|SALAMANCA / MATACAN|SPAIN|40-57N|005-30W|793|
8918|SALLENT DE GALLEGO,  FORMIGAL|8918.0||SALLENT DE GALLEGO,'FORMIGAL|SPAIN|42-47N|000-22W|1560|
8917|SALLENT DE GALLEGO,  FURCO|8917.0||SALLENT DE GALLEGO,'FURCO|SPAIN|42-46N|000-23W|1780|
8920|SALLENT DE GALLEGO,  RESPOMUSO|8920.0||SALLENT DE GALLEGO,'RESPOMUSO|SPAIN|42-49N|000-17W|2180|
8256|SAN CLEMENTE|8256.0||SAN CLEMENTE|SPAIN|39-25-00N|002-25-14W|728|
8453|SAN FERNANDO|8453.0||SAN FERNANDO|SPAIN|36-27-56N|006-12-20W|30|
8270|SAN PABLO DE LOS MON|8270.0||SAN PABLO DE LOS MON|SPAIN|39-32-48N|004-21-02W|917|
8029|SAN SEBASTIAN/FUENTERRABIA|8029.0|LESO|SAN SEBASTIAN / FUENTERRABIA|SPAIN|43-21N|001-48W|5|
8027|SAN SEBASTIAN/IGUELDO|8027.0||SAN SEBASTIAN / IGUELDO|SPAIN|43-18N|002-03W|258|
8017|SAN VICENTE, FARO|8017.0||SAN VICENTE - FARO|SPAIN|43-23-35N|004-23-30W|39|
8240|SANT JAUME|8240.0||SANT JAUME|SPAIN|40-41-57N|000-48-33E|1|
8350|SANTA ELENA|8350.0||SANTA ELENA|SPAIN|38-20-39N|003-32-07W|770|
8188|SANTA SUSANA|8188.0||SANTA SUSANA|SPAIN|41-39-01N|002-41-48E|40|
8023|SANTANDER|8023.0||SANTANDER|SPAIN|43-28N|003-49W|64|
8021|SANTANDER/PARAYAS|8021.0|LEXJ|SANTANDER / PARAYAS|SPAIN|43-26N|003-49W|6|
8041|SANTIAGO DE COMPOSTE|8041.0||SANTIAGO DE COMPOSTE|SPAIN|42-52-32N|008-33-20W|240|
8042|SANTIAGO DE COMPOSTELA/LABACOLLA|8042.0|LEST|SANTIAGO / LABACOLLA|SPAIN|42-54N|008-26W|370|
8213|SEGOVIA|8213.0||SEGOVIA|SPAIN|40-57N|004-07W|1005|
8391|SEVILLA/SAN PABLO|8391.0|LEZL|SEVILLA / SAN PABLO|SPAIN|37-25N|005-54W|34|
8303|SIERRA DE ALFABIA|8303.0||SIERRA DE ALFABIA|SPAIN|39-44-04N|002-42-47E|1030|
8262|SIERRA DE FUENTES|8262.0||SIERRA DE FUENTES|SPAIN|39-26N|006-17W|667|
8150|SIGUENZA|8150.0||SIGÜENZA|SPAIN|41-05-11N|002-37-05W|1005|
8145|SOMOSIERRA|8145.0||SOMOSIERRA|SPAIN|41-08-08N|003-34-49W|1450|
8148|SORIA|8148.0||SORIA|SPAIN|41-46N|002-28W|1082|
